Roll,Mid,End
1,,0
2,,24
3,,38
4,,22
5,,13
6,,26
7,,6
8,,26
9,,22
10,,31
11,,11
12,,10
13,,16
14,,12
15,,33
16,,32
17,,19
18,,13
19,,27
20,,6
21,,12
22,,25
23,,25
24,,25
25,,25
26,,38
27,,14
28,,37
29,,22
30,,9
31,,11
32,,19
33,,28
34,,29
35,,17
36,,21
37,,30
38,,13
39,,17
40,,29
41,,30
42,,24
43,,21
44,,34
45,,33
46,,11
47,,16
48,,27
49,,19
50,,19
51,,31
52,,34
53,,10
55,,31
56,,28
57,,19
58,,15
59,,21
60,,38
61,,30
62,,14
63,,30
64,,15
65,,30
66,,9
67,,35
68,,22
69,,27
70,,17
71,,29
72,,14
73,,18
74,,18
75,,25
76,,31
77,,24
78,,23
79,,22
80,,16
81,,25
82,,19
83,,23
84,,17
85,,20
86,,35
87,,25
88,,24
89,,31
90,,26
91,,27
92,,24
93,,29
94,,34
95,,5
96,,32
97,,24
98,,21
100,,0
101,,8
102,,32
103,,23
104,,34
105,,19
106,,19
107,,10
108,,29
109,,26
110,,19
111,,18
112,,39
113,,31
114,,26
115,,21
116,,13
117,,21
118,,33
119,,21
120,,26
121,,27
122,,27
123,,23
124,,23
125,,37
126,,22
127,,30
128,,29
129,,24
130,,20
131,,16
132,,36
133,,38
134,,26
135,,31
136,,22
137,,38
138,,31
140,,27
141,,31
142,,20
143,,18
144,,26
145,,27
146,,29
147,,0
148,,27
