Roll,Mid,End
Other,7,11
CO/03,19,43
CO/05,17,29
CO/06,21,37
CO/08,21,37
CO/09,19,27
CO/11,14,23
CO/13,19,34
CO/14,13,15
CO/16,18,31
CO/17,19,33
CO/18,18,36
CO/21,14,21
CO/25,17,25
CO/27,16,31
CO/29,17,25
CO/30,10,14
CO/31,16,24
CO/32,16,29
CO/33,20,37
CO/34,17,40
CO/36,17,29
CO/37,20,40
CO/43,18,30
CO/44,18,38
CO/45,17,27
CO/46,10,13
CO/47,17,29
CO/48,21,41
CO/49,15,26
CO/50,18,27
CO/53,17,17
CO/57,16,21
CO/58,18,32
CO/59,19,34
CO/61,19,35
CO/62,13,20
CO/63,18,38
CO/64,11,10
CO/66,11,21
CO/67,20,44
CO/68,14,17
CO/73,15,25
CO/74,16,27
CO/75,10,28
CO/77,16,34
CO/78,21,39
CO/82,13,21
CO/83,19,37
CO/85,18,26
CO/86,17,35
CO/87,11,22
CO/88,22,27
CO/89,21,40
CO/92,19,26
CO/94,19,39
CO/96,22,42
CO/100,5,15
CO/102,15,22
CO/104,23,40
CO/108,20,38
CO/109,15,24
CO/110,10,16
CO/113,21,38
CO/115,17,33
CO/116,17,25
CO/117,21,29
CO/121,22,29
CO/123,18,32
CO/134,19,35
CO/135,20,27
CO/136,16,30
CO/140,19,35
CO/145,15,41
CO/146,18,35
Other,5,17
Other,22,39
Other,19,31
Other,14,22
Other,11,16
Other,20,26
Other,14,18
Other,22,32
Other,15,31
Other,8,11
Other,17,37
Other,23,36
Other,20,35
Other,20,40
Other,16,37
Other,18,30
Other,17,29
Other,20,41
Other,15,18
Other,10,13
Other,22,33
Other,17,19
Other,17,25
Other,16,22
Other,11,15
